"mpg"	"engine_size"	"horsepower"	"weight"	"drag_coef"	"width"	"height"	"awd"	"hybrid"
60.2902546966286	1.67	83	1443	0.38	169	136.4	0	1
34.9697407043495	4.23	226	2502	0.32	183.6	150.5	0	0
48.0487626452792	2.54	179	1722	0.28	172.3	160.1	0	0
52.0845418511506	2.31	101	1812	0.43	180.6	133.2	0	1
35.197607065365	3.41	175	2074	0.28	177.3	143.2	1	0
37.6243251403929	3.42	223	2099	0.33	174.7	152.5	1	0
60.6547566324858	1.5	68	1279	0.25	165.2	149.5	0	1
52.4896467131087	2.18	176	1631	0.33	175.4	136.5	0	1
42.8694610054189	3.31	145	2154	0.39	174	156.6	1	0
48.6084301163678	3.52	161	2253	0.31	183.6	133.4	0	0
44.7382192026506	3.05	163	2031	0.3	165.7	139	0	0
40.7305400701313	3.02	148	1982	0.42	180.3	153.4	1	0
44.8410578492705	3.14	197	2113	0.28	169.1	150.7	0	0
43.1830909594924	3.23	167	2145	0.36	173.3	137.8	0	0
35.5266283730501	4.47	247	2486	0.43	188.7	144.8	0	1
32.801934251825	4.32	207	2485	0.25	177.2	155.2	1	0
50.1227849580615	1.45	117	1360	0.27	175.5	145.9	0	0
49.8748285858647	3.81	248	2383	0.44	180.3	142.8	0	1
40.95343842519	4.59	270	2577	0.29	185.2	148.3	0	0
53.0309102728759	2.12	145	1664	0.28	180.5	149	1	0
47.584635264055	1.91	131	1520	0.41	173.9	125.4	1	0
53.3399251401898	1.06	135	1307	0.27	177.2	138.1	0	0
47.3058053316572	1.52	87	1372	0.39	162.7	148	1	0
45.1435683727883	1.37	121	1332	0.45	184.6	159.3	1	0
46.2634430378028	1.95	114	1604	0.43	179.7	148.9	1	0
43.8860475734776	4.16	278	2515	0.45	180.6	147.3	0	1
35.9446866439591	3.4	178	2191	0.29	183	149.6	0	0
25.7286823189018	4.64	233	2751	0.38	162.6	143.3	1	1
47.3472458679096	3.24	204	2089	0.43	172.1	143.1	0	0
39.9685357229654	4.02	226	2379	0.37	185.1	153.1	0	0
45.9641727042696	2.52	121	1665	0.26	173.7	147.2	1	0
44.2222895277148	2.49	142	1758	0.34	174.4	139.6	1	0
44.1809468807072	1.68	127	1474	0.35	172.2	145.9	0	0
47.6563097574935	2.81	120	1917	0.44	178.4	149.8	0	0
45.5671702776223	2.03	113	1500	0.38	189.6	151.1	0	0
47.7077804072851	2.35	138	1735	0.36	167.4	142.3	0	1
39.7678883621366	4.56	207	2605	0.37	175.4	157.9	0	0
51.4677529457999	1.81	99	1531	0.38	174.3	142.5	0	0
34.7404710470353	3.32	194	2160	0.26	173.8	133.4	1	0
47.499243346469	1.83	115	1520	0.4	167.7	148.6	1	1
44.854312170434	2.13	128	1752	0.43	164.3	154	0	0
38.7530529859213	4.15	248	2479	0.43	163	129.3	0	0
45.5549671616623	1.69	125	1512	0.42	171.6	143.7	1	0
44.1019431725275	3.28	213	2026	0.29	174.8	128.3	0	0
47.7079257731012	2.68	183	1844	0.41	192.2	136.9	0	0
48.6064678224606	2.07	149	1599	0.34	181.4	145.9	0	0
51.1469441404528	1.19	90	1338	0.33	168.8	134.6	1	1
54.7929141712987	1.41	118	1298	0.36	155.3	137.6	0	1
46.3442000489393	2.26	152	1649	0.33	180	134.5	0	0
48.7277641731155	4.2	281	2543	0.36	169.7	143.9	0	0
50.4143517784371	1.92	113	1482	0.31	174.3	126.6	0	0
55.2520246966341	1.85	158	1572	0.27	182.7	150.6	0	0
39.8811194366299	4.51	234	2541	0.25	186.7	135.8	1	0
36.0710375020897	4.97	229	2793	0.35	172.8	142.2	0	0
41.2183509012863	4.38	272	2542	0.4	168.7	148.7	0	1
31.353031701136	4.64	249	2624	0.4	183.8	136	1	0
37.1402826628588	2.89	119	1962	0.31	175.9	157.9	1	0
49.5449488028828	1.9	112	1499	0.36	164.1	143.3	0	0
50.3210655194307	1.51	110	1430	0.31	179.3	160.4	1	0
40.9069702971044	2.12	81	1738	0.43	196.4	139.2	1	0
45.2676691824064	4.26	265	2488	0.45	175.6	142.5	0	1
50.5018382496993	1.23	118	1344	0.39	167.9	139.5	1	0
42.0636759244721	4.21	206	2411	0.38	164.4	151.7	0	0
50.3018009626934	1.42	95	1254	0.35	183.9	142.6	0	0
42.3841977825741	4.07	221	2379	0.29	174.5	136.1	0	0
53.280800800302	2.22	114	1733	0.35	172.6	145.5	0	0
38.6318663637863	4.08	200	2478	0.43	166.1	147.9	0	0
